epoch,loss,peak_signal_noise_ratio,val_loss,val_peak_signal_noise_ratio
0,0.23637357354164124,61.31278610229492,0.12907728552818298,65.4357681274414
1,0.1802651286125183,63.077884674072266,0.12715955078601837,65.53175354003906
2,0.1679622232913971,63.5377082824707,0.12430088222026825,65.63109588623047
3,0.1669723093509674,63.57682418823242,0.12748859822750092,65.37252807617188
4,0.16986693441867828,63.41509246826172,0.12650278210639954,65.4875717163086
5,0.16603070497512817,63.67527389526367,0.12978102266788483,65.34980773925781
6,0.1636296957731247,63.7620849609375,0.12367335706949234,65.59962463378906
7,0.15993300080299377,63.9166259765625,0.1251794695854187,65.5556869506836
8,0.158035546541214,64.17039489746094,0.12298719584941864,65.78380584716797
9,0.15802353620529175,64.0374984741211,0.12648087739944458,65.5686264038086
10,0.15960422158241272,64.07783508300781,0.1282639056444168,65.5080795288086
11,0.15714427828788757,64.22876739501953,0.11676451563835144,66.2690658569336
12,0.16124758124351501,64.09860229492188,0.12297283113002777,65.74549102783203
13,0.1580270379781723,64.21247100830078,0.12268705666065216,65.85831451416016
14,0.1623142957687378,63.987117767333984,0.12422771006822586,65.79153442382812
15,0.15985427796840668,64.05138397216797,0.12231071293354034,65.90375518798828
16,0.15944209694862366,64.16827392578125,0.12610171735286713,65.46659851074219
0,0.23871518671512604,61.26192855834961,0.12926886975765228,65.64041900634766
1,0.17889076471328735,63.1251106262207,0.13454343378543854,64.88728332519531
2,0.1733967661857605,63.272159576416016,0.1314433366060257,65.12731170654297
3,0.16686758399009705,63.5128173828125,0.12225654721260071,65.66761016845703
4,0.1622283160686493,63.78423309326172,0.12532663345336914,65.53691101074219
5,0.17036131024360657,63.39186096191406,0.13130658864974976,65.17097473144531
6,0.1642298698425293,63.719661712646484,0.12381641566753387,65.68370819091797
7,0.1669422686100006,63.63157653808594,0.12806379795074463,65.39593505859375
8,0.16573184728622437,63.782981872558594,0.12409927695989609,65.5853500366211
0,0.2418825477361679,61.32732391357422,0.12940511107444763,65.36750030517578
1,0.1827877312898636,63.00322341918945,0.1256643682718277,65.53141784667969
2,0.16807346045970917,63.47990417480469,0.12278246134519577,65.77889251708984
3,0.16393223404884338,63.67402267456055,0.12579460442066193,65.50593566894531
4,0.16516153514385223,63.661964416503906,0.12598459422588348,65.58274841308594
5,0.1618330478668213,63.80440139770508,0.13152673840522766,65.28046417236328
6,0.16124510765075684,63.798255920410156,0.12777231633663177,65.33394622802734
7,0.16080106794834137,63.83668518066406,0.12420826405286789,65.82666778564453
0,0.24326716363430023,61.27735137939453,0.12323781847953796,65.782470703125
1,0.17248590290546417,63.4987678527832,0.12327458709478378,65.9184341430664
2,0.1712147295475006,63.366355895996094,0.12934520840644836,65.28758239746094
3,0.16530770063400269,63.70181655883789,0.12845146656036377,65.30652618408203
4,0.1628710925579071,63.79170608520508,0.1238628700375557,65.73375701904297
5,0.16419675946235657,63.65416717529297,0.12271933257579803,65.642822265625
6,0.1630568504333496,63.773712158203125,0.12851686775684357,65.30333709716797
7,0.15892475843429565,63.948795318603516,0.12916314601898193,65.48368072509766
8,0.15894149243831635,63.97324752807617,0.12346582114696503,65.69862365722656
9,0.16127116978168488,63.89078903198242,0.1313038021326065,65.22271728515625
10,0.15814007818698883,63.995506286621094,0.12609829008579254,65.60531616210938
